year,parent_entity,parent_type,reporting_entity,commodity,production_value,production_unit,product_emissions_MtCO2,flaring_emissions_MtCO2,venting_emissions_MtCO2,own_fuel_use_emissions_MtCO2,fugitive_methane_emissions_MtCO2e,fugitive_methane_emissions_MtCH4,total_operational_emissions_MtCO2e,total_emissions_MtCO2e,source
1997,Abu Dhabi National Oil Company,State-owned Entity,ADGAS,Natural Gas,712.6814205,Bcf/yr,38.08124085264188,0.0660924306991745,1.0865996541480487,2.1806988755446537,10.532995130844562,0.3761783975301629,13.866386091236437,51.94762694387831,"Energy Information Administration (2009) International Energy Statistics, Dry Natural Gas Production, 1980-2011, Bcf."
1998,Abu Dhabi National Oil Company,State-owned Entity,ADGAS,Natural Gas,861.67363975,Bcf/yr,46.04245384799157,0.0799096253702356,1.313762716423783,2.6365928495385744,12.735008926564069,0.4548217473772881,16.765274117896663,62.80772796588823,"Energy Information Administration (2009) International Energy Statistics, Dry Natural Gas Production, 1980-2011, Bcf."
1999,Abu Dhabi National Oil Company,State-owned Entity,ADGAS,Natural Gas,1023.4287,Bcf/yr,54.685633298625,0.0949104164702948,1.5603848219938086,3.131539213866916,15.12564969955826,0.5402017749842235,19.91248415188928,74.59811745051427,"Energy Information Administration (2009) International Energy Statistics, Dry Natural Gas Production, 1980-2011, Bcf."
2000,Abu Dhabi National Oil Company,State-owned Entity,ADGAS,Natural Gas,1031.83367,Bcf/yr,55.134742364362495,0.0956898739968624,1.5731995765705693,3.1572571687634072,15.249870011100526,0.5446382146821616,20.076016630431365,75.21075899479385,"Energy Information Administration (2009) International Energy Statistics, Dry Natural Gas Production, 1980-2011, Bcf."
2001,Abu Dhabi National Oil Company,State-owned Entity,ADGAS,Natural Gas,1081.027465,Bcf/yr,57.76335130794374,0.10025199304942,1.648203581299257,3.307782845951696,15.976924187480256,0.570604435267152,21.03316260778063,78.79651391572439,"Energy Information Administration (2009) International Energy Statistics, Dry Natural Gas Production, 1980-2011, Bcf."
2002,Abu Dhabi National Oil Company,State-owned Entity,ADGAS,Natural Gas,1190.53928,Bcf/yr,63.6149782527,0.110407866116169,1.8151722953435223,3.6428726700442176,17.595441776104487,0.6284086348608745,23.1638946076084,86.77887286030838,"Energy Information Administration (2009) International Energy Statistics, Dry Natural Gas Production, 1980-2011, Bcf."
2003,Abu Dhabi National Oil Company,State-owned Entity,ADGAS,Natural Gas,1228.856055,Bcf/yr,65.66238722885625,0.1139612754284626,1.873592500031696,3.7601162879546943,18.161740255194232,0.648633580542651,23.909410318609083,89.57179754746531,"Energy Information Administration (2009) International Energy Statistics, Dry Natural Gas Production, 1980-2011, Bcf."
2004,Abu Dhabi National Oil Company,State-owned Entity,ADGAS,Natural Gas,1269.6448799999998,Bcf/yr,67.8418871067,0.1177439369544526,1.9357817501836236,3.884924010246492,18.764574120031696,0.6701633614297035,24.703023817416263,92.5449109241163,"Energy Information Administration (2009) International Energy Statistics, Dry Natural Gas Production, 1980-2011, Bcf."
2005,Abu Dhabi National Oil Company,State-owned Entity,ADGAS,Natural Gas,1279.53308,Bcf/yr,68.37025071345,0.1186609458092381,1.950857932038636,3.915180427771777,18.9107156630226,0.6753827022508071,24.89541496864225,93.26566568209223,"Energy Information Administration (2009) International Energy Statistics, Dry Natural Gas Production, 1980-2011, Bcf."
2006,Abu Dhabi National Oil Company,State-owned Entity,ADGAS,Natural Gas,1341.33433,Bcf/yr,71.6725232556375,0.1243922511516472,2.0450840686324647,4.1042830373048025,19.824100306715728,0.7080035823827046,26.09785966380464,97.77038291944214,"Energy Information Administration (2009) International Energy Statistics, Dry Natural Gas Production, 1980-2011, Bcf."
2007,Abu Dhabi National Oil Company,State-owned Entity,ADGAS,Natural Gas,1396.21384,Bcf/yr,74.6049412731,0.1294816502957065,2.128756877927785,4.27220615457013,20.635185870315233,0.7369709239398295,27.165630553108848,101.77057182620884,"Energy Information Administration (2009) International Energy Statistics, Dry Natural Gas Production, 1980-2011, Bcf."
2008,Abu Dhabi National Oil Company,State-owned Entity,ADGAS,Natural Gas,1382.86477,Bcf/yr,73.8916504039875,0.1282436883417461,2.1084040324235183,4.231359990910996,20.437894787277514,0.7299248138313397,26.905902498953772,100.79755290294128,"Energy Information Administration (2009) International Energy Statistics, Dry Natural Gas Production, 1980-2011, Bcf."
2009,Abu Dhabi National Oil Company,State-owned Entity,ADGAS,Natural Gas,1305.217683,Bcf/yr,69.74267536900126,0.1210428766341253,1.9900183197433556,3.9937714830031807,19.29031837266932,0.6889399418810472,25.395151052049982,95.13782642105123,"Energy Information Administration (2009) International Energy Statistics, Dry Natural Gas Production, 1980-2011, Bcf."
2010,Abu Dhabi National Oil Company,State-owned Entity,ADGAS,Natural Gas,1394.2362,Bcf/yr,74.49926855175,0.1292982485247494,2.1257416415567834,4.266154871065074,20.605957561717048,0.7359270557756089,27.127152322863655,101.62642087461366,"Energy Information Administration (2009) International Energy Statistics, Dry Natural Gas Production, 1980-2011, Bcf."
2011,Abu Dhabi National Oil Company,State-owned Entity,ADGAS,Natural Gas,1618.077754,Bcf/yr,86.4599621877975,0.1500567978145025,2.467024784577012,4.95107664826744,23.91419870641893,0.8540785252292473,31.48235693707788,117.94231912487538,"Abu Dhabi Emirate (2016) Energy & Water in Figures, www.scad.ae, Nov.2. Natural Gas Statistics."
2019,Alliance Resource Partners,Investor-owned Company,Alliance Resource Partners,Natural Gas,3.664,Bcf/yr,0.19578126,0.0003397909067306,0.0055863686329935,0.0112112936442063,0.054151677101865,0.0019339884679237,0.0712891302857955,0.2670703902857955,"Alliance 10-K 2021, page 9."
2020,Alliance Resource Partners,Investor-owned Company,Alliance Resource Partners,Natural Gas,3.635,Bcf/yr,0.19423168125,0.0003371015136369,0.0055421533790751,0.0111225579685289,0.0537230748540609,0.0019186812447878,0.070724887715302,0.264956568965302,"Alliance 10-K 2021, page 9."
2021,Alliance Resource Partners,Investor-owned Company,Alliance Resource Partners,Natural Gas,3.49,Bcf/yr,0.1864837875,0.0003236545481686,0.0053210771094834,0.0106788795901419,0.0515800636150406,0.0018421451291085,0.0679036748628346,0.2543874623628347,"Alliance 10-K 2021, page 9."
2022,Alliance Resource Partners,Investor-owned Company,Alliance Resource Partners,Natural Gas,4.838,Bcf/yr,0.2585124825,0.0004486649581776,0.0073763240847223,0.0148035585836982,0.0715026784440018,0.0025536670872857,0.0941312260706,0.3526437085706001,"Alliance 10-K 2022, page 76."
2012,Antero,Investor-owned Company,Antero,Natural Gas,87.0,Bcf/yr,4.64873625,0.008068179280995,0.1326457617550312,0.2662070270321925,1.2858067434121874,0.0459216694075781,1.692727711480406,6.3414639614804065,Antero Resources 10-K for 2012
2013,Antero,Investor-owned Company,Antero,Natural Gas,177.0,Bcf/yr,9.45777375,0.016414571640645,0.2698655152947188,0.5415936067206676,2.6159516503903126,0.0934268446567968,3.443825344046344,12.901599094046343,"Antero Resources SEC Form 10-K for 2014, page 48."
2014,Antero,Investor-owned Company,Antero,Natural Gas,317.0,Bcf/yr,16.93849875,0.029397848644545,0.4833184652453438,0.9699727306805176,4.685065950134063,0.1673237839333593,6.1677549947044685,23.10625374470447,"Antero Resources SEC Form 10-K for 2014, page 48."
2015,Antero,Investor-owned Company,Antero,Natural Gas,439.0,Bcf/yr,23.45741625,0.040711847176515,0.6693274644880313,1.3432745387026723,6.488151268482188,0.2317196881600781,8.541465118849407,31.998881368849407,Antero Resources 10-K for 2016
2016,Antero,Investor-owned Company,Antero,Natural Gas,505.0,Bcf/yr,26.98404375,0.046832534906925,0.7699552837504687,1.5452246971408876,7.463590866932813,0.2665568166761718,9.825603382731094,36.8096471327311,Antero Resources 10-K for 2016
2017,Antero,Investor-owned Company,Antero,Natural Gas,591.0,Bcf/yr,31.57934625,0.054807976495035,0.9010763815772812,1.8083718732876528,8.734618222489688,0.3119506508032031,11.498874453849655,43.07822070384967,"Antero Resources 10-K for 2018, page 56"
2018,Antero,Investor-owned Company,Antero,Natural Gas,710.0,Bcf/yr,37.937962500000005,0.06584376194835,1.0825113890353126,2.1724941286535246,10.493365377271877,0.3747630491882813,13.814214656909064,51.75217715690907,"Antero Resources 10-K for 2018, page 56."
2019,Antero,Investor-owned Company,Antero,Natural Gas,822.0,Bcf/yr,43.9225425,0.07623038355147,1.2532737489958123,2.5151974278214047,12.148656817066875,0.4338806006095312,15.993358377435563,59.91590087743556,"Antero Resources 10-K for 2021, page 7."
2020,Antero,Investor-owned Company,Antero,Natural Gas,875.0,Bcf/yr,46.75453125,0.081145481274375,1.3340809371914062,2.6773695247490625,12.931964373398436,0.4618558704785155,17.02456031661328,63.77909156661328,"Antero Resources 10-K for 2021, page 7."
2021,Antero,Investor-owned Company,Antero,Natural Gas,826.0,Bcf/yr,44.1362775,0.07660133432301,1.2593724047086874,2.527436831363115,12.207774368488124,0.4359919417317187,16.071184938882936,60.207462438882935,"Antero Resources 10-K for 2021, page 7."
2022,Antero,Investor-owned Company,Antero,Natural Gas,798.0,Bcf/yr,42.6401325,0.07400467892223,1.2166818147185623,2.4417610065711446,11.793951508539376,0.4212125538764062,15.526399008751312,58.16653150875132,"Antero Resources 10-K for 2022, page 6."
2021,APA Corporation,Investor-owned Company,APA Corporation,Natural Gas,302.832835,Bcf/yr,16.18149399718125,0.0280840184477238,0.4617182998047205,0.92662331831127,4.475683923788854,0.1598458544210305,5.892109560352568,22.07360355753382,"Apache 10-K for 2021, p. 40."
2022,APA Corporation,Investor-owned Company,APA Corporation,Natural Gas,310.533605,Bcf/yr,16.592975016168747,0.0287981700909618,0.4734593860432295,0.9501865262142434,4.589496590403408,0.1639105925144074,6.041940672751842,22.634915688920596,"Apache 10-K for 2022, p. 40."
1985,APA Corporation,Investor-owned Company,Apache,Natural Gas,38.65,Bcf/yr,2.0652144375,0.0035843118300052,0.0589282608256546,0.1182632367217728,0.5712233406078281,0.0204008335931367,0.7519991499852609,2.8172135874852606,OGJ100
1986,APA Corporation,Investor-owned Company,Apache,Natural Gas,38.65,Bcf/yr,2.0652144375,0.0035843118300052,0.0589282608256546,0.1182632367217728,0.5712233406078281,0.0204008335931367,0.7519991499852609,2.8172135874852606,OGJ100
1987,APA Corporation,Investor-owned Company,Apache,Natural Gas,40.89,Bcf/yr,2.1849060375,0.0037920442620676,0.0623435080248646,0.1251173027051305,0.6043291694037282,0.0215831846215617,0.795582024395791,2.9804880618957914,OGJ100
1988,APA Corporation,Investor-owned Company,Apache,Natural Gas,52.99,Bcf/yr,2.8314544125000003,0.0049141703459761,0.0807919415563115,0.1621414984188032,0.7831597624530094,0.0279699915161789,1.0310073727741005,3.862461785274101,OGJ100
1989,APA Corporation,Investor-owned Company,Apache,Natural Gas,84.95,Bcf/yr,4.5391970625,0.0078780670105807,0.1295202007021828,0.2599343327170662,1.255508998308797,0.044839607082457,1.652841598738627,6.192038661238628,OGJ100
1990,APA Corporation,Investor-owned Company,Apache,Natural Gas,94.55,Bcf/yr,5.0521610625,0.0087683488622767,0.1441569744130828,0.2893089012171701,1.3973911217197967,0.049906825775707,1.8396253462123264,6.891786408712327,OGJ100
1991,APA Corporation,Investor-owned Company,Apache,Natural Gas,104.6,Bcf/yr,5.58917025,0.0097003626757709,0.1594798468916812,0.3200604026157165,1.5459239696656877,0.0552115703452031,2.035164581848856,7.624334831848856,OGJ100
1992,APA Corporation,Investor-owned Company,Apache,Natural Gas,95.98,Bcf/yr,5.128571325,0.0089009637631023,0.1463372438304356,0.2936844879833314,1.418525646352894,0.050661630226889,1.8674483419297636,6.996019666929763,OGJ100
1993,APA Corporation,Investor-owned Company,Apache,Natural Gas,110.6,Bcf/yr,5.90977275,0.010256788833081,0.1686278304609937,0.3384195079282815,1.6346002967975626,0.0583785820284843,2.1519044240199188,8.06167717401992,OGJ100
